,name,type,place,time
0, Форрест Гамп 16+ ,Новые фильмы в прокате,Инженерный корпус,"Сегодня в 16:00, 20 февраля, 26 февраля"
1,"«Слёзы в ветреную погоду, «Соло», «Письма мёртвого человека» 12+ ",Ретроспектива Константина Лопушанского ,Инженерный корпус,Сегодня в 19:00
2,Правда 18+ ,Новые фильмы в прокате,Инженерный корпус,"18 февраля, 21 февраля, 22 февраля"
3,Только ты 18+ ,Новые фильмы в прокате,Инженерный корпус,"Сегодня в 13:45, 18 февраля, 23 февраля"
4,Офицер и шпион 16+ ,Новые фильмы в прокате,Инженерный корпус,"18 февраля, 19 февраля, 22 февраля"
5,Паразиты 18+ ,Новые фильмы в прокате,Инженерный корпус,"18 февраля, 21 февраля, 24 февраля"
6,Однажды... Тарантино 18+ ,Новые фильмы в прокате,Инженерный корпус,"18 февраля, 19 февраля"
7,"Жан-Поль Готье, с любовью 18+ ",Новые фильмы в прокате,Инженерный корпус,"19 февраля, 23 февраля, 26 февраля"
8,Бремя любви 18+ ,Ретроспектива Юдзо Кавасимы,Инженерный корпус,19 февраля
9,Люсьен Фрейд: Автопортрет 18+ ,Специальные показы,Новая Третьяковка,19 февраля
10,Мальчик русский 12+ ,Новые фильмы в прокате,Инженерный корпус,"19 февраля, 22 февраля, 26 февраля"
11,Свистуны 18+ ,,Инженерный корпус,"20 февраля, 24 февраля, 26 февраля"
12,Эма: танец страсти 18+ ,Новые фильмы в прокате,Инженерный корпус,"20 февраля, 21 февраля, 24 февраля"
13,Ложное движение 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,20 февраля
14,Посетитель музея 12+ ,Ретроспектива Константина Лопушанского ,Инженерный корпус,20 февраля
15,Рай Сусаки: Район красных фонарей 18+ ,Ретроспектива Юдзо Кавасимы,Инженерный корпус,21 февраля
16,Русская симфония 12+ ,Ретроспектива Константина Лопушанского ,Инженерный корпус,21 февраля
17,С течением времени 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,22 февраля
18,Люсьен Фрейд: Автопортрет 18+ ,Специальные показы,Инженерный корпус,23 февраля
19,Солнце в последние дни сёгуната 18+ ,Ретроспектива Юдзо Кавасимы,Инженерный корпус,25 февраля
20,Американский друг 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,25 февраля
21,Анна Франк. Параллельные истории 16+ ,Новые фильмы в прокате,Инженерный корпус,26 февраля
22,Леонардо. Вся история 12+ ,Специальные показы,Новая Третьяковка,26 февраля
23,Фильм Ника. Молния над водой 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,27 февраля
24,Кабинет доктора Калигари 12+ ,История немецкого кино: От Калигари до...  ,Инженерный корпус,27 февраля
25,Конец века 16+ ,Ретроспектива Константина Лопушанского ,Инженерный корпус,29 февраля
26,Сдаётся комната 18+ ,Ретроспектива Юдзо Кавасимы,Инженерный корпус,29 февраля
27,Положение вещей 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,29 февраля
28,"«Когда я пробуждаюсь / Обратный ракурс. Нью-Йорк сити, март 1982», «Комната 666. Не важно когда …» 16+ ",Ретроспектива Вима Вендерса ,Инженерный корпус,03 марта
29,Гадкие лебеди 14+                                                              ,Ретроспектива Константина Лопушанского ,Инженерный корпус,03 марта
30,Женщина рождается дважды 18+ ,Ретроспектива Юдзо Кавасимы,Инженерный корпус,04 марта
31,Тень цветка 18+ ,Ретроспектива Юдзо Кавасимы,Инженерный корпус,06 марта
32,Храм Диких Гусей 18+ ,Ретроспектива Юдзо Кавасимы,Инженерный корпус,07 марта
33,"Париж, Техас 16+ ",Ретроспектива Вима Вендерса ,Инженерный корпус,07 марта
34,Роль 16+ ,Ретроспектива Константина Лопушанского ,Инженерный корпус,09 марта
35,Токио-Га 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,10 марта
36,Изящное чудовище 18+ ,Ретроспектива Юдзо Кавасимы,Инженерный корпус,11 марта
37,Небо над Берлином 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,12 марта
38,Записки об одежде и городах 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,14 марта
39,Небо над Берлином-2 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,17 марта
40,Братья Складановские 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,19 марта
41,Лиссабонская история 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,21 марта
42,Клуб Буэна Виста 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,24 марта
43,Съёмки в Палермо 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,26 марта
44,Пина. Танец страсти 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,28 марта
45,Прекрасные дни в Аранхуэсе 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,29 марта
46,Погружение 16+ ,Ретроспектива Вима Вендерса ,Инженерный корпус,31 марта
